CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,AgeGroup,IncomeCategory,FamilySize
200025,0,53,"Self Enquiry",1,11,Salaried,Female,2,3,King,3,Married,5,0,5,0,1,VP,34094,Senior,Medium,3
200027,0,42,"Self Enquiry",3,14,"Small Business",Male,2,3,Deluxe,4,Divorced,1,0,3,0,1,Manager,21825,Middle-aged,Medium,3
200028,0,44,"Self Enquiry",1,13,"Small Business",Female,2,4,Standard,3,Divorced,4,0,4,1,0,"Senior Manager",25248,Middle-aged,Medium,2
200029,0,46,"Self Enquiry",3,8,"Small Business",Female,2,3,King,5,Single,4,0,2,0,1,VP,33947,Senior,Medium,3
200030,0,33,"Self Enquiry",1,8,"Small Business",Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496,Middle-aged,Low,5
200031,0,44,"Self Enquiry",1,16,Salaried,Male,2,3,Deluxe,3,Divorced,3,1,3,1,1,Manager,21465,Middle-aged,Medium,3
200032,0,30,"Self Enquiry",1,15,"Small Business",Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206,Middle-aged,Low,3
200033,1,39,"Self Enquiry",3,11,"Large Business",Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,17086,Middle-aged,Low,3
200034,1,24,"Self Enquiry",1,6,"Small Business",Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293,Young,Low,5
200035,0,43,"Self Enquiry",1,8,"Small Business",Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,Middle-aged,Low,4
200036,1,50,"Self Enquiry",3,9,"Small Business",Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683,Senior,Low,2
200037,0,35,"Self Enquiry",3,8,"Small Business",Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014,Middle-aged,Low,3
200039,0,33,"Company Invited",3,6,Salaried,Female,2,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376,Middle-aged,Medium,2
200040,0,35,"Self Enquiry",1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951,Middle-aged,Low,3
200041,0,27,"Self Enquiry",1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341,Young,Low,3
200042,1,26,"Self Enquiry",1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293,Young,Low,3
200043,0,27,"Company Invited",3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,"Senior Manager",23726,Young,Medium,2
200045,1,41,"Self Enquiry",1,18,"Large Business",Female,2,3,King,3,Divorced,2,0,4,1,0,VP,34545,Middle-aged,Medium,2
200047,0,37,"Self Enquiry",1,25,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022,Middle-aged,Low,4
200048,0,46,"Company Invited",3,11,"Small Business",Male,3,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772,Senior,Medium,4
200049,0,35,"Self Enquiry",1,14,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269,Middle-aged,Low,3
200050,1,48,"Self Enquiry",1,6,Salaried,Male,3,4,Standard,3,Single,1,1,5,0,2,"Senior Manager",20381,Senior,Medium,5
200051,1,,"Self Enquiry",1,11,"Large Business",Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441,Young,Low,2
200052,0,44,"Self Enquiry",3,6,"Small Business",Female,3,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454,Middle-aged,Medium,3
200053,0,35,"Company Invited",1,17,"Small Business",Male,3,4,Standard,5,Divorced,3,1,5,1,1,"Senior Manager",24884,Middle-aged,Medium,4
200055,0,33,"Company Invited",1,6,Salaried,"Fe Male",3,3,Standard,3,Unmarried,2,1,2,1,0,"Senior Manager",28458,Middle-aged,Medium,3
200056,0,35,"Company Invited",3,24,Salaried,Male,3,3,Standard,5,Divorced,2,0,4,1,0,"Senior Manager",24069,Middle-aged,Medium,3
200058,0,31,"Self Enquiry",1,13,Salaried,Male,2,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915,Middle-aged,Medium,2
200059,0,37,"Self Enquiry",1,6,Salaried,Male,2,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993,Middle-aged,Medium,3
200060,0,32,"Self Enquiry",1,6,"Small Business",Male,2,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162,Middle-aged,Medium,2
200061,0,38,"Company Invited",1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,Middle-aged,Low,2
200062,0,50,"Self Enquiry",1,13,"Small Business",Female,2,4,King,3,Married,6,1,4,1,1,VP,33740,Senior,Medium,3
200063,0,59,"Self Enquiry",3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,"Senior Manager",22637,Senior,Medium,2
200064,0,36,"Self Enquiry",1,14,"Large Business",Female,2,3,Standard,3,Married,2,0,4,1,1,"Senior Manager",25096,Middle-aged,Medium,3
200065,0,55,"Self Enquiry",1,14,"Small Business",Female,2,3,"Super Deluxe",3,Married,3,1,3,0,1,AVP,29756,Senior,Medium,3
200066,0,36,"Company Invited",1,17,Salaried,Male,3,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499,Middle-aged,Medium,4
200067,0,45,"Self Enquiry",1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,"Senior Manager",24724,Middle-aged,Medium,3
200068,0,35,"Company Invited",1,6,"Small Business",Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194,Middle-aged,Low,4
200069,1,,"Self Enquiry",1,15,"Small Business",Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388,Young,Low,4
200070,0,59,"Company Invited",3,6,Salaried,Female,2,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473,Senior,Medium,3
200071,0,29,"Self Enquiry",1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703,Young,Low,3
200072,0,31,"Self Enquiry",1,6,"Small Business",Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501,Middle-aged,Low,2
200073,0,32,"Self Enquiry",1,6,Salaried,Male,3,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220,Middle-aged,Medium,3
200074,0,36,"Self Enquiry",1,12,Salaried,Female,2,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038,Middle-aged,Low,2
200077,0,45,"Self Enquiry",1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,"Senior Manager",28245,Middle-aged,Medium,2
200078,0,37,"Self Enquiry",1,13,"Small Business",Male,1,3,Standard,3,Single,5,0,2,0,0,"Senior Manager",28664,Middle-aged,Medium,1
200080,0,30,"Self Enquiry",1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126,Middle-aged,Medium,3
200081,0,35,"Self Enquiry",1,6,"Small Business",Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859,Middle-aged,Low,1
200082,0,55,"Self Enquiry",3,6,Salaried,Male,3,3,Standard,3,Divorced,4,0,2,0,1,"Senior Manager",25239,Senior,Medium,4
200083,0,38,"Company Invited",1,12,"Small Business",Female,3,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329,Middle-aged,Medium,5
200085,0,56,"Self Enquiry",1,13,Salaried,Male,2,5,Standard,3,Unmarried,5,0,2,0,0,"Senior Manager",22260,Senior,Medium,2
200086,0,23,"Self Enquiry",3,8,"Large Business",Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322,Young,Low,4
200087,0,51,"Self Enquiry",1,15,Salaried,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075,Senior,Low,3
200089,1,46,"Self Enquiry",3,15,"Small Business",Male,3,4,Standard,3,Unmarried,2,0,5,0,1,"Senior Manager",24619,Senior,Medium,4
200090,0,40,"Company Invited",1,6,Salaried,Male,3,4,"Super Deluxe",4,Divorced,2,0,2,1,2,AVP,28503,Middle-aged,Medium,5
200091,0,51,"Self Enquiry",3,27,"Small Business",Male,3,3,Deluxe,3,Single,1,1,5,1,1,Manager,20441,Senior,Medium,4
200092,0,30,"Self Enquiry",3,10,"Small Business",Female,3,4,Deluxe,4,Married,2,1,3,1,1,Manager,20209,Middle-aged,Medium,4
200093,0,46,"Company Invited",1,6,"Small Business",Male,2,4,Standard,5,Divorced,3,1,2,1,1,"Senior Manager",25673,Senior,Medium,3
200095,0,54,"Self Enquiry",1,8,"Large Business",Female,2,3,Standard,3,Divorced,1,0,4,1,0,"Senior Manager",28549,Senior,Medium,2
200098,0,58,"Self Enquiry",3,16,"Small Business",Male,2,3,"Super Deluxe",3,Single,1,0,3,1,1,AVP,28872,Senior,Medium,3
200099,0,44,"Company Invited",1,29,"Small Business",Male,3,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042,Middle-aged,Low,3
200100,1,37,"Self Enquiry",2,12,Salaried,Male,3,3,Basic,5,Married,5,1,2,1,0,Executive,17073,Middle-aged,Low,3
200101,0,32,"Self Enquiry",1,6,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956,Middle-aged,Low,5
200102,1,20,"Company Invited",1,12,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926,Young,Low,4
200104,0,37,"Company Invited",1,8,Salaried,Male,3,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163,Middle-aged,Medium,4
200105,0,59,"Company Invited",2,8,Salaried,Female,2,4,King,3,Divorced,1,0,2,1,1,VP,33844,Senior,Medium,3
200106,0,50,"Company Invited",1,6,Salaried,Female,3,3,King,4,Divorced,4,1,2,0,2,VP,33172,Senior,Medium,5
200107,1,25,"Self Enquiry",3,11,"Small Business",Male,2,4,Deluxe,3,Single,2,1,3,1,0,Manager,20744,Young,Medium,2
200108,0,25,"Self Enquiry",1,13,"Small Business",Male,3,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889,Young,Low,5
200109,0,22,"Self Enquiry",1,21,"Small Business",Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871,Young,Low,3
200110,0,51,"Company Invited",1,6,"Small Business",Female,1,4,Standard,5,Unmarried,4,0,2,1,0,"Senior Manager",22484,Senior,Medium,1
200111,1,34,"Company Invited",1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,1,Manager,21074,Middle-aged,Medium,4
200112,0,54,"Company Invited",2,32,Salaried,Female,1,2,"Super Deluxe",3,Single,3,1,3,1,0,AVP,32328,Senior,Medium,1
200113,0,24,"Self Enquiry",1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774,Young,Low,2
200115,0,37,"Self Enquiry",3,9,Salaried,Male,2,3,Standard,3,Unmarried,3,0,3,0,0,"Senior Manager",22428,Middle-aged,Medium,2
200116,0,34,"Self Enquiry",1,11,"Small Business","Fe Male",2,4,Standard,5,Unmarried,3,0,2,0,0,"Senior Manager",26631,Middle-aged,Medium,2
200117,0,36,"Company Invited",3,17,"Large Business",Female,3,3,Standard,3,Divorced,1,0,5,0,0,"Senior Manager",24738,Middle-aged,Medium,3
200118,0,36,"Self Enquiry",1,9,Salaried,Female,2,3,Basic,3,Married,6,0,2,1,0,Executive,17835,Middle-aged,Low,2
200119,0,43,"Company Invited",3,32,Salaried,Male,3,3,"Super Deluxe",3,Divorced,2,1,2,0,0,AVP,31959,Middle-aged,Medium,3
200120,0,30,"Company Invited",1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613,Middle-aged,Low,5
200121,0,33,"Company Invited",3,28,"Small Business",Male,3,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146,Middle-aged,Medium,4
200123,0,51,"Self Enquiry",1,12,Salaried,Male,2,3,King,3,Single,1,0,5,1,0,VP,34537,Senior,Medium,2
200124,1,31,"Self Enquiry",3,12,Salaried,Male,3,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172,Middle-aged,Medium,4
200125,0,26,"Self Enquiry",1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368,Young,Low,2
200126,1,58,"Self Enquiry",1,29,"Small Business",Female,3,3,Standard,3,Divorced,2,0,3,1,0,"Senior Manager",25312,Senior,Medium,3
200127,1,19,"Self Enquiry",3,28,"Small Business",Male,2,3,Basic,3,Single,2,1,2,0,1,Executive,16675,Young,Low,3
200128,0,22,"Self Enquiry",1,8,"Large Business",Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523,Young,Low,5
200129,0,49,"Self Enquiry",1,26,"Small Business",Female,3,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567,Senior,Medium,5
200131,0,50,"Company Invited",3,18,"Small Business","Fe Male",3,3,Standard,3,Unmarried,5,0,5,0,0,"Senior Manager",24208,Senior,Medium,3
200133,0,41,"Self Enquiry",3,15,Salaried,Male,3,3,Standard,3,Married,4,1,2,0,1,"Senior Manager",23189,Middle-aged,Medium,4
200134,0,26,"Self Enquiry",2,31,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942,Young,Low,3
200136,1,51,"Company Invited",1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,"Senior Manager",25650,Senior,Medium,3
200137,0,39,"Self Enquiry",3,10,Salaried,Female,2,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902,Middle-aged,Medium,2
200138,0,25,"Self Enquiry",3,34,Salaried,Male,2,4,Deluxe,3,Divorced,3,0,4,0,0,Manager,23639,Young,Medium,2
200139,0,30,"Self Enquiry",2,15,Salaried,Male,2,3,Deluxe,3,Divorced,1,1,3,1,1,Manager,21347,Middle-aged,Medium,3
200141,0,,"Self Enquiry",1,35,"Small Business",Male,2,3,Basic,3,Single,6,0,2,1,0,Executive,18452,Young,Low,2
200142,0,38,"Self Enquiry",1,9,"Large Business",Female,2,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000,Middle-aged,Low,2
200143,0,30,"Self Enquiry",1,24,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,0,Executive,17632,Middle-aged,Low,3
200145,0,30,"Self Enquiry",1,11,"Large Business",Female,2,3,Basic,5,Married,6,0,5,1,1,Executive,18204,Middle-aged,Low,3
200146,0,30,"Self Enquiry",1,8,"Small Business",Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720,Middle-aged,Low,2
200147,0,41,"Company Invited",1,16,Salaried,Male,3,4,"Super Deluxe",5,Married,5,0,2,1,0,AVP,32181,Middle-aged,Medium,3
200148,0,41,"Self Enquiry",1,15,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238,Middle-aged,Low,5
200149,0,19,"Self Enquiry",1,9,"Small Business",Female,3,3,Basic,4,Single,2,0,3,1,2,Executive,16483,Young,Low,5
200150,0,40,"Company Invited",1,32,"Small Business",Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,Middle-aged,Medium,2
200151,0,35,"Self Enquiry",3,6,"Small Business",Male,3,3,Standard,4,Divorced,2,0,4,1,2,"Senior Manager",22295,Middle-aged,Medium,5
200152,0,53,"Self Enquiry",3,12,"Small Business",Male,2,3,Deluxe,3,Divorced,3,1,5,0,0,Manager,17306,Senior,Low,2
200153,0,45,"Self Enquiry",1,15,Salaried,Male,2,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348,Middle-aged,Low,2
200154,0,32,"Company Invited",3,14,"Small Business","Fe Male",2,3,Standard,3,Unmarried,2,0,4,1,1,"Senior Manager",23998,Middle-aged,Medium,3
200156,0,51,"Self Enquiry",1,13,"Small Business",Male,2,4,Deluxe,3,Divorced,3,0,3,1,1,Manager,21132,Senior,Medium,3
200157,0,58,"Self Enquiry",1,15,"Small Business",Female,3,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346,Senior,Low,3
200158,0,40,"Self Enquiry",3,10,"Small Business",Male,3,4,Standard,3,Divorced,1,0,2,1,0,"Senior Manager",25855,Middle-aged,Medium,3
200159,0,34,"Company Invited",3,8,"Small Business",Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,Middle-aged,Low,5
200160,0,22,"Self Enquiry",1,25,"Small Business",Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323,Young,Low,4
200161,0,27,"Company Invited",1,15,"Small Business",Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024,Young,Low,2
200162,0,28,"Self Enquiry",1,27,"Small Business",Male,2,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713,Young,Low,2
200163,0,57,"Self Enquiry",1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,"Senior Manager",24439,Senior,Medium,3
200164,0,27,"Company Invited",1,9,"Small Business",Male,3,4,Basic,3,Married,2,1,2,0,2,Executive,17566,Young,Low,5
200166,0,41,"Self Enquiry",1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451,Middle-aged,Low,3
200167,0,30,"Self Enquiry",3,11,Salaried,Female,2,3,Standard,3,Divorced,3,0,4,1,1,"Senior Manager",24419,Middle-aged,Medium,3
200168,0,38,"Self Enquiry",3,6,Salaried,"Fe Male",2,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686,Middle-aged,Medium,3
200169,0,32,"Self Enquiry",1,12,Salaried,Male,2,3,Basic,3,Single,4,0,2,0,1,Executive,18038,Middle-aged,Low,3
200170,0,27,"Self Enquiry",1,23,"Large Business",Male,2,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058,Young,Low,2
200171,1,19,"Company Invited",3,6,"Large Business",Female,3,5,Basic,5,Single,1,0,3,1,1,Executive,17325,Young,Low,4
200172,0,36,"Company Invited",1,9,"Small Business",Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088,Middle-aged,Low,1
200173,0,30,"Company Invited",1,15,"Small Business",Male,3,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072,Middle-aged,Low,4
200176,0,33,"Self Enquiry",1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,1,Executive,17500,Middle-aged,Low,3
200177,1,19,"Self Enquiry",1,8,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,Executive,16102,Young,Low,2
200178,0,46,"Self Enquiry",3,6,"Small Business",Female,3,3,Standard,5,Married,2,0,2,1,1,"Senior Manager",25453,Senior,Medium,4
200179,0,38,"Self Enquiry",1,15,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,Executive,17288,Middle-aged,Low,4
200181,0,34,"Self Enquiry",1,33,"Small Business",Female,3,3,Basic,4,Single,3,0,3,1,0,Executive,17311,Middle-aged,Low,3
200182,1,41,"Self Enquiry",3,26,"Small Business",Female,3,3,Basic,4,Single,2,1,4,0,2,Executive,18140,Middle-aged,Low,5
200183,0,,"Self Enquiry",1,6,"Small Business",Male,2,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690,Young,Low,2
200185,0,33,"Self Enquiry",1,20,"Small Business",Female,3,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756,Middle-aged,Low,3
200186,0,40,"Self Enquiry",1,10,"Small Business",Female,2,3,King,3,Divorced,2,0,5,0,1,VP,34033,Middle-aged,Medium,3
200187,0,55,"Self Enquiry",1,20,"Small Business",Male,3,2,King,4,Single,1,0,2,0,2,VP,33722,Senior,Medium,5
200188,0,34,"Company Invited",1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547,Middle-aged,Medium,2
200189,0,51,"Self Enquiry",1,9,"Small Business",Female,3,3,"Super Deluxe",4,Single,4,0,5,0,1,AVP,28734,Senior,Medium,4
200191,0,27,"Self Enquiry",1,15,"Small Business",Female,2,3,Basic,4,Single,2,0,3,1,0,Executive,17279,Young,Low,2
200192,1,35,"Self Enquiry",1,29,Salaried,Male,2,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916,Middle-aged,Medium,3
200193,0,43,"Company Invited",1,13,"Small Business",Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089,Middle-aged,Low,3
200194,0,45,"Company Invited",1,8,"Small Business",Male,3,4,"Super Deluxe",3,Divorced,1,0,4,1,0,AVP,31792,Middle-aged,Medium,3
200195,0,,"Self Enquiry",1,27,Salaried,Male,3,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564,Young,Low,5
200197,0,42,"Company Invited",1,27,"Small Business",Female,2,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265,Middle-aged,Medium,2
200198,0,38,"Self Enquiry",1,8,Salaried,Male,2,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553,Middle-aged,Medium,3
200199,0,38,"Self Enquiry",1,35,"Large Business",Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261,Middle-aged,Medium,3
200201,0,49,"Company Invited",1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,2,0,1,Manager,21804,Senior,Medium,4
200203,0,40,"Self Enquiry",1,25,"Small Business",Male,2,3,Deluxe,3,Divorced,1,1,2,1,1,Manager,17741,Middle-aged,Low,3
200204,1,38,"Self Enquiry",1,35,"Small Business",Male,3,3,Deluxe,5,Divorced,1,1,3,0,1,Manager,21673,Middle-aged,Medium,4
200205,1,29,"Self Enquiry",3,33,"Small Business",Female,2,3,Standard,3,Divorced,2,0,3,1,1,"Senior Manager",22639,Young,Medium,3
200206,0,22,"Self Enquiry",1,11,Salaried,Male,2,2,Basic,4,Married,2,1,4,0,0,Executive,17328,Young,Low,2
200207,0,36,"Company Invited",1,24,"Small Business",Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17153,Middle-aged,Low,5
200209,0,46,"Self Enquiry",1,6,"Small Business",Male,3,3,Standard,5,Married,1,0,2,0,0,"Senior Manager",24396,Senior,Medium,3
200210,1,32,"Self Enquiry",3,10,"Small Business",Male,2,5,Standard,3,Divorced,2,0,2,1,1,"Senior Manager",25400,Middle-aged,Medium,3
200211,0,30,"Company Invited",1,6,Salaried,Male,2,4,Standard,3,Unmarried,2,0,5,1,1,"Senior Manager",23474,Middle-aged,Medium,3
200212,0,27,"Company Invited",3,26,Salaried,"Fe Male",2,3,Deluxe,3,Unmarried,2,0,2,1,1,Manager,24981,Young,Medium,3
200213,0,51,"Self Enquiry",1,14,Salaried,Male,2,4,Standard,4,Divorced,6,0,3,1,1,"Senior Manager",27490,Senior,Medium,3
200214,1,30,"Self Enquiry",1,9,"Large Business",Female,2,3,Basic,5,Single,6,1,4,1,1,Executive,17657,Middle-aged,Low,3
200215,0,41,"Self Enquiry",3,12,Salaried,"Fe Male",3,3,Standard,3,Single,4,1,2,0,1,"Senior Manager",28591,Middle-aged,Medium,4
200216,1,30,"Company Invited",3,32,"Small Business",Female,2,4,Deluxe,5,Unmarried,6,0,2,0,1,Manager,21696,Middle-aged,Medium,3
200217,1,29,"Self Enquiry",1,6,"Large Business",Male,2,3,Basic,3,Single,1,0,2,0,0,Executive,17058,Young,Low,2
200218,0,45,"Company Invited",3,12,"Small Business","Fe Male",2,4,Standard,3,Unmarried,7,0,4,1,0,"Senior Manager",23865,Middle-aged,Medium,2
200219,0,54,"Self Enquiry",3,9,"Small Business",Female,2,3,Deluxe,5,Divorced,3,0,4,1,1,Manager,20940,Senior,Medium,3
200220,0,36,"Self Enquiry",1,11,Salaried,Male,3,3,Deluxe,4,Single,1,0,2,0,2,Manager,20914,Middle-aged,Medium,5
200221,0,33,"Self Enquiry",1,10,"Small Business",Female,2,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622,Middle-aged,Low,2
200222,0,37,"Company Invited",1,17,Salaried,Male,2,3,Standard,3,Married,2,1,3,0,1,"Senior Manager",27185,Middle-aged,Medium,3
200223,0,38,"Self Enquiry",3,9,Salaried,Male,3,3,Standard,3,Married,1,0,2,1,1,"Senior Manager",25609,Middle-aged,Medium,4
200225,0,59,"Self Enquiry",1,9,Salaried,Male,3,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177,Senior,Low,4
200226,0,37,"Company Invited",3,10,"Small Business",Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17177,Middle-aged,Low,2
